CT1,CT2,CT3,CT_Avg,total_current,state,created_at,vibration,therm_temp
5.068123817,6.531571865,5.425864697,5.675186634,17.02556038,ON,2024-08-05 03:32:04,1808.0,30.48266792
5.01225853,5.97659874,5.292096138,5.42698431,16.28095245,ON,2024-08-05 03:32:05,1616.0,30.50730515
5.120170593,6.699872017,5.193655491,5.6712327,17.01369858,ON,2024-08-05 03:32:10,1983.0,30.60121346
4.617388725,6.071209431,5.407993793,5.365530491,16.09659195,ON,2024-08-05 03:32:15,1808.0,30.61167717
5.202831268,6.205469131,5.818058014,5.742119312,17.22635841,ON,2024-08-05 03:32:20,1813.0,30.70198441
5.060997009,6.147280693,5.726707935,5.644995213,16.93498611,ON,2024-08-05 03:32:25,1744.0,30.75590324
3.697194815,4.788571358,4.383669853,4.289812088,12.86943626,ON,2024-08-05 03:32:30,2083.0,30.83561897
5.240828514,6.220008373,5.73704958,5.732628345,17.19788551,ON,2024-08-05 03:32:35,1995.0,30.95677948
5.005730152,6.367233753,5.772353649,5.715105534,17.14531708,ON,2024-08-05 03:32:40,1872.0,31.0593071
4.180799484,4.851848125,4.002388954,4.345012188,13.03503704,ON,2024-08-05 03:32:45,1879.0,31.13626289
4.037290573,4.801345348,4.277338982,4.371991634,13.11597538,ON,2024-08-05 03:32:50,1863.0,31.29239082
5.294498444,6.384442806,5.4728508,5.717264175,17.15179253,ON,2024-08-05 03:32:55,1894.0,31.38711548
5.270203114,6.347514629,5.518865585,5.712194443,17.13658333,ON,2024-08-05 03:33:00,1931.0,31.49269676
3.740258455,4.60645628,4.254108429,4.200274467,12.6008234,ON,2024-08-05 03:33:05,1801.0,31.62885284
3.823536396,4.819237709,4.149337292,4.264037609,12.79211235,ON,2024-08-05 03:33:10,1986.0,31.78343773
4.407805443,5.435409069,4.89304018,4.912084579,14.73625374,ON,2024-08-05 03:33:49,1817.0,32.68771744
4.567602634,5.845552444,5.048408031,5.15385437,15.46156311,ON,2024-08-05 03:33:52,1673.0,32.76473236
3.794635534,4.745175838,4.260655403,4.266822338,12.80046654,ON,2024-08-05 03:33:57,1793.0,32.87075424
4.553256512,5.526605129,4.892724037,4.990861893,14.97258568,ON,2024-08-05 03:34:02,2058.0,33.00730515
4.361324787,5.553394318,4.895153046,4.93662405,14.80987167,ON,2024-08-05 03:34:07,1900.0,33.16695404
3.743684292,4.631917477,4.140814304,4.172138691,12.51641655,ON,2024-08-05 03:34:12,1834.0,33.23206711
3.695389748,4.71335268,4.169430733,4.192724705,12.57817364,ON,2024-08-05 03:34:17,1779.0,33.38998413
4.559800625,5.48362112,4.656785488,4.90006876,14.70020676,ON,2024-08-05 03:34:22,1764.0,33.52066422
4.420954704,5.765947342,5.016775131,5.067892551,15.20367718,ON,2024-08-05 03:34:27,1745.0,33.78743362
4.228527546,5.014875889,4.320771217,4.521391392,13.56417465,ON,2024-08-05 03:34:32,1893.0,33.79985809
3.785815239,4.54211092,3.967095852,4.098340988,12.29502296,ON,2024-08-05 03:34:37,1872.0,33.9032135
3.434640646,4.497802258,3.910800695,3.947747946,11.8432436,ON,2024-08-05 03:40:07,1791.0,35.13391495
4.353380203,5.548861027,4.612034321,4.838091373,14.5142746,ON,2024-08-05 03:40:12,1651.0,35.12955856
4.41505146,5.712926388,4.722408772,4.950128555,14.85038567,ON,2024-08-05 03:40:17,1899.0,35.08283234
3.88420701,4.502098083,3.867686033,4.084663868,12.25399113,ON,2024-08-05 03:40:22,1905.0,35.09991455
4.621653557,5.470578671,4.616825581,4.903018951,14.70905685,ON,2024-08-05 03:40:27,1823.0,35.18571854
4.744093418,5.25637579,4.837406158,4.945958614,14.83787537,ON,2024-08-05 03:40:32,1868.0,35.1775322
4.273824692,5.218354702,4.77615118,4.756110668,14.26833153,ON,2024-08-05 03:40:37,1916.0,35.18002319
3.632790089,4.551328659,4.177378178,4.120498657,12.36149597,ON,2024-08-05 03:40:42,1980.0,35.30193329
4.515557766,5.745222092,4.710531712,4.990437031,14.97131157,ON,2024-08-05 03:40:47,1824.0,35.39962769
4.626478672,5.467716217,4.819701672,4.971298695,14.91389656,ON,2024-08-05 03:40:52,1698.0,35.36592102
3.716190338,4.670716763,4.334783554,4.240563869,12.72169113,ON,2024-08-05 03:40:57,1840.0,35.50298691
3.725994825,4.418472767,3.90184617,4.015437603,12.04631329,ON,2024-08-05 03:41:02,1898.0,35.50022125
4.661655426,5.461327076,4.698310852,4.940431118,14.82129288,ON,2024-08-05 03:41:07,1926.0,35.56165314
4.59999752,5.407352924,4.789684772,4.932344913,14.79703522,ON,2024-08-05 03:41:12,1856.0,35.61507034
3.452287436,4.58269453,4.284757614,4.106579781,12.31973934,ON,2024-08-05 03:41:17,1952.0,35.70539093
3.449282169,4.529893875,4.223150253,4.06744194,12.20232582,ON,2024-08-05 03:41:22,1825.0,35.82300949
4.263631344,5.414945602,4.878436565,4.852338314,14.55701447,ON,2024-08-05 03:41:27,1857.0,35.90298843
3.817160368,4.851419926,4.092660904,4.253746986,12.76124096,ON,2024-08-05 03:41:32,1769.0,36.00409317
5.104251862,6.315235615,5.404422283,5.607969761,16.82390976,ON,2024-08-05 03:41:37,1711.0,36.07947159
5.045106411,6.325804234,5.647963524,5.672958374,17.01887512,ON,2024-08-05 03:41:42,1967.0,36.15822983
3.718281507,4.593205452,3.911803246,4.074429989,12.22329044,ON,2024-08-05 03:41:47,1808.0,36.24570084
5.220187664,6.110482216,5.106508255,5.479059219,16.43717766,ON,2024-08-05 03:41:52,1648.0,36.35809326
5.183984756,6.286197662,5.76441288,5.744865417,17.23459625,ON,2024-08-05 03:41:57,2018.0,36.43462372
5.81083107,6.822791576,6.108965397,6.247529507,18.74258804,ON,2024-08-05 03:42:02,1968.0,36.57331467
3.595405102,4.555964947,3.976593494,4.042654514,12.12796402,ON,2024-08-05 03:42:07,1821.0,36.61650848
5.22489357,6.074692249,5.591415405,5.630333424,16.89100075,ON,2024-08-05 03:42:12,1648.0,36.71661758
5.134018421,6.238603592,5.654707432,5.675776005,17.02732849,ON,2024-08-05 03:42:17,1707.0,36.80358505
3.709287643,4.425017357,4.050726891,4.061677456,12.18503189,ON,2024-08-05 03:42:22,1831.0,36.93848801
3.803293705,4.69004488,4.286074162,4.259804249,12.77941322,ON,2024-08-05 03:42:27,1693.0,37.03147888
5.307457924,6.452018261,5.831378937,5.863618374,17.59085464,ON,2024-08-05 03:42:32,1829.0,37.11896896
5.424721241,6.340135098,6.167213917,5.977356434,17.93206978,ON,2024-08-05 03:42:37,1739.0,37.19117737
3.566215277,4.699661732,4.191417694,4.152431488,12.45729446,ON,2024-08-05 03:42:42,1984.0,37.29499054
3.658366442,4.545097351,3.873171806,4.02554512,12.07663536,ON,2024-08-05 03:42:47,1855.0,37.5246315
