CT1,CT2,CT3,CT_Avg,total_current,state,created_at,vibration,therm_temp
23.29293633,20.3239727,19.75407791,21.12366295,63.37098694,ON,2024-08-03 06:04:34,2192.0,32.78770447
23.44277191,20.65569687,19.75208664,21.28351784,63.85055542,ON,2024-08-03 06:04:39,2086.0,32.79347229
22.35029793,21.05421448,19.68356895,21.02935982,63.08808136,ON,2024-08-03 06:04:44,2161.0,32.80236053
23.92895126,21.04323006,20.57368469,21.84862328,65.54586792,ON,2024-08-03 06:04:49,2095.0,32.81212997
22.45365524,20.38267517,19.59276009,20.8096981,62.42909241,ON,2024-08-03 06:04:54,2197.0,32.81837082
21.70114136,20.47756195,20.34869003,20.84246445,62.52739334,ON,2024-08-03 06:04:59,2064.0,32.80747604
23.7669487,20.83961868,20.31844139,21.64167023,64.92501068,ON,2024-08-03 06:05:04,2095.0,32.81409073
22.39936447,21.22120667,21.34598732,21.65551949,64.96656036,ON,2024-08-03 06:05:09,2134.0,32.82976913
22.15504265,20.14239883,19.79327202,20.69690514,62.0907135,ON,2024-08-03 06:05:14,2173.0,32.84638977
22.09721375,19.90028572,19.37667084,20.4580555,61.3741684,ON,2024-08-03 06:05:19,2256.0,32.86751938
22.50619507,20.49196434,20.63850212,21.21222115,63.63666534,ON,2024-08-03 06:05:24,2141.0,32.84926987
23.26476097,20.6451664,19.79613876,21.23535538,63.70606613,ON,2024-08-03 06:05:29,2043.0,32.86426163
21.48010254,20.31262207,19.95539284,20.58270454,61.74811554,ON,2024-08-03 06:05:34,2024.0,32.85514069
22.62498283,20.46841049,20.29387665,21.12908936,63.38726807,ON,2024-08-03 06:05:39,2192.0,32.86938095
23.85464096,20.5666008,19.77024651,21.39716339,64.19149017,ON,2024-08-03 06:05:44,2037.0,32.8238678
22.08032036,20.51861572,19.80861092,20.80251503,62.407547,ON,2024-08-03 06:05:49,2160.0,32.81578445
22.21624756,21.10254288,19.76109123,21.02662659,63.07987976,ON,2024-08-03 06:05:54,2134.0,32.81650543
22.22646332,20.7693367,21.68363762,21.55981255,64.67943573,ON,2024-08-03 06:05:59,2099.0,32.81185913
22.08010483,21.19499016,20.62996674,21.30168724,63.90505981,ON,2024-08-03 06:06:04,2094.0,32.82500076
22.26532555,20.61478806,19.29737663,20.72583008,62.17749023,ON,2024-08-03 06:06:09,2160.0,32.83119583
22.21166992,20.88571739,21.09537315,21.39758873,64.19276428,ON,2024-08-03 06:06:14,2071.0,32.82638168
22.73075104,20.65481758,20.81923103,21.40159798,64.20479584,ON,2024-08-03 06:06:19,2093.0,32.80147552
22.18841553,20.75989151,19.92093086,20.95641327,62.86923981,ON,2024-08-03 06:06:24,2108.0,32.80286407
21.76002312,20.8501873,21.00183487,21.20401573,63.61204529,ON,2024-08-03 06:06:29,2100.0,32.8176918
22.24518013,20.99048615,19.95228004,21.06264687,63.1879425,ON,2024-08-03 11:23:31,2057.0,34.1426239
22.24518013,20.99048615,19.95228004,21.06264687,63.1879425,ON,2024-08-03 11:23:31,2129.0,34.1426239
22.0372467,20.1938324,19.26482391,20.49863434,61.49590302,ON,2024-08-03 11:23:35,2061.0,34.11392212
23.53094101,20.80253792,19.55165672,21.29504585,63.88513947,ON,2024-08-03 11:23:40,2000.0,34.20475006
20.61708832,19.92193222,19.52908516,20.02270317,60.0681076,ON,2024-08-03 11:23:45,2097.0,34.22558212
34.55602264,32.64353561,32.4234848,33.20767975,99.62303925,ON,2024-08-03 11:30:55,2094.0,34.02071762
21.50929451,19.99412727,19.44237137,20.31526375,60.94579315,ON,2024-08-03 11:31:00,2019.0,34.04100037
28.69714546,28.06450272,24.578825,27.11349297,81.34047699,ON,2024-08-03 11:31:05,2145.0,34.07464981
26.09096909,25.48194313,26.51092339,26.02794647,78.08383942,ON,2024-08-03 11:31:10,2092.0,34.12828445
30.48486328,27.62617302,28.23595238,28.78233147,86.34699249,ON,2024-08-03 11:31:15,2116.0,34.1385498
26.57126427,26.44709015,23.53104401,25.51646614,76.54940033,ON,2024-08-03 11:31:20,2081.0,34.18733215
21.48056602,19.94655228,18.47992897,19.96901512,59.90704346,ON,2024-08-03 11:31:25,2160.0,34.17941666
34.30849075,33.01299667,34.30122757,33.87423706,101.6227112,ON,2024-08-03 11:31:30,2150.0,34.18742371
22.30465317,20.77637482,19.6599369,20.91365623,62.7409668,ON,2024-08-03 11:31:35,2097.0,34.21539307
28.78770065,29.96949387,26.670681,28.47595787,85.4278717,ON,2024-08-03 11:31:40,2078.0,34.22610092
24.70036697,23.15525818,24.25375938,24.03646088,72.10938263,ON,2024-08-03 11:31:45,2094.0,34.22835922
33.48212433,27.89941025,27.62241936,29.66798401,89.00395203,ON,2024-08-03 11:31:50,2092.0,34.21289825
22.89821625,22.93902016,22.4317627,22.7563324,68.26899719,ON,2024-08-03 11:31:55,2117.0,34.25390244
23.53724098,23.58339882,20.49766922,22.53943634,67.61830902,ON,2024-08-03 11:32:00,2121.0,34.26689148
31.60013962,30.4790535,31.95060349,31.34326744,94.02980042,ON,2024-08-03 11:32:05,2119.0,34.30780029
25.65532494,23.42844391,22.53796005,23.8739109,71.62173462,ON,2024-08-03 11:32:10,2119.0,34.2973671
26.40376472,27.84270859,25.71114159,26.65254021,79.95761871,ON,2024-08-03 11:32:15,2082.0,34.3057518
21.93510628,20.24611664,20.61674118,20.93265343,62.79796219,ON,2024-08-03 11:32:20,2034.0,34.26621628
34.50056458,33.31190109,32.00966644,33.27404404,99.82213593,ON,2024-08-03 11:32:25,2151.0,34.32543182
22.93697548,22.76669693,19.62820244,21.77729225,65.33187866,ON,2024-08-03 11:32:30,2070.0,34.33722305
25.43235779,24.27390671,20.28996468,23.33207703,69.99623108,ON,2024-08-03 11:32:35,2121.0,34.35503387
31.10285759,29.06789398,30.24342918,30.13806152,90.41418457,ON,2024-08-03 11:32:40,2109.0,34.33723068
27.09098816,23.24326706,22.18325806,24.17250633,72.51751709,ON,2024-08-03 11:32:45,2081.0,34.36118317
26.31190872,26.80309677,24.61027718,25.90842628,77.72528076,ON,2024-08-03 11:32:50,1902.0,34.37330246
26.10765076,24.62927246,27.34767532,26.02819824,78.08459473,ON,2024-08-03 11:47:24,2133.0,34.80394745
26.74111748,22.00603485,21.05451584,23.26722145,69.80166626,ON,2024-08-03 11:47:29,2082.0,34.82039642
24.10465431,23.5273571,20.90709305,22.84636879,68.53910828,ON,2024-08-03 11:47:34,2203.0,34.83201599
21.92430305,19.99983978,18.94846725,20.29086876,60.87260818,ON,2024-08-03 11:47:39,2099.0,34.85575485
30.82500648,27.80430031,28.28926659,28.97285652,86.91857147,ON,2024-08-03 11:47:44,2101.0,34.88869476
21.59649849,19.83934021,18.62659454,20.02081108,60.06243134,ON,2024-08-03 11:47:49,2211.0,34.92815781
26.51140022,25.84292221,21.33163071,24.56198692,73.68595886,ON,2024-08-03 11:47:54,2067.0,34.94923782
25.63390732,23.24618721,24.13294601,24.33768272,73.01304626,ON,2024-08-03 11:47:59,2044.0,34.97309494
28.24935341,25.93140221,23.11810112,25.76628685,77.29885864,ON,2024-08-03 11:48:04,2160.0,34.98721313
23.80516815,23.99837685,21.30395508,23.03583336,69.10749817,ON,2024-08-03 11:48:09,2087.0,34.93989944
21.81225967,19.92285728,17.83602142,19.85704613,59.57113647,ON,2024-08-03 11:48:14,2070.0,35.02004623
30.91980934,27.73361397,28.31586647,28.98976326,86.96929169,ON,2024-08-03 11:48:19,2108.0,35.051754
21.61959076,19.88445854,18.41703033,19.97369385,59.92108154,ON,2024-08-03 11:48:24,2187.0,35.05384064
25.92264748,25.94949722,22.02550125,24.63254738,73.89764404,ON,2024-08-03 11:48:29,2107.0,35.03476715
26.91222954,23.65717697,23.78803253,24.78581238,74.35743713,ON,2024-08-03 11:48:34,2025.0,35.03053284
28.1260643,25.19569206,25.73709488,26.35295105,79.05885315,ON,2024-08-03 11:48:39,2094.0,35.0755806
24.29086685,23.95835876,20.89545631,23.04822731,69.14468384,ON,2024-08-03 11:48:44,2166.0,35.05984497
21.48119736,19.72091866,17.78008652,19.66073418,58.98220444,ON,2024-08-03 11:48:49,2188.0,35.07395935
31.17438507,27.87274742,28.04687691,29.03133583,87.0940094,ON,2024-08-03 11:48:54,2149.0,35.07294464
21.77118111,20.16478729,18.43460464,20.12352371,60.37057114,ON,2024-08-03 11:48:59,2115.0,35.07178116
25.55716515,25.83753777,22.80424309,24.73298073,74.19894409,ON,2024-08-03 11:49:04,2096.0,35.11820602
24.01748085,23.06179428,22.96925735,23.3495121,70.04853821,ON,2024-08-03 11:49:09,2097.0,35.1627121
27.52368355,25.48220253,24.71707726,25.90765381,77.72296143,ON,2024-08-03 11:49:14,2095.0,35.19163513
25.642519,24.24384689,20.59285355,23.49307251,70.47921753,ON,2024-08-03 11:49:19,2047.0,35.17984009
33.8160553,32.08533859,34.17438126,33.35859299,100.0757751,ON,2024-08-03 11:55:19,2101.0,35.47672653
25.73762512,23.48726273,21.07936859,23.43475342,70.30426025,ON,2024-08-03 11:55:24,2147.0,35.45669937
27.00892258,29.72372437,28.88547707,28.53937531,85.61812592,ON,2024-08-03 11:55:29,2190.0,35.4720192
22.20251465,21.0094986,21.65678406,21.62293243,64.8687973,ON,2024-08-03 11:55:34,2146.0,35.47792053
37.95713425,34.45462036,33.27465057,35.22880173,105.686409,ON,2024-08-03 11:55:39,2089.0,35.69855499
23.17091179,23.39608002,22.09971809,22.88890266,68.6667099,ON,2024-08-03 11:55:44,2097.0,35.50753021
23.02581024,23.84249687,20.23153687,22.3666153,67.09984589,ON,2024-08-03 11:55:49,2150.0,35.51364899
33.15411377,32.47320175,32.14810944,32.59180832,97.77542877,ON,2024-08-03 11:55:54,2167.0,35.49408722
27.53174591,24.6554718,22.89519882,25.02747154,75.08241272,ON,2024-08-03 11:55:59,2122.0,35.44758606
27.59567451,28.90778351,27.52187729,28.00844383,84.02532959,ON,2024-08-03 11:56:04,2018.0,35.48761749
22.3635025,20.83847618,21.34101486,21.51433372,64.54299927,ON,2024-08-03 11:56:09,2080.0,35.52799225
23.37836456,23.31074905,23.90490341,23.53133965,70.59401703,ON,2024-08-03 11:56:25,2153.0,35.60810471
26.05808258,24.0500412,20.63728333,23.58180237,70.7454071,ON,2024-08-03 11:56:26,2067.0,35.58226013
34.51124191,33.97824478,33.84682083,34.11210251,102.3363037,ON,2024-08-03 11:56:31,2141.0,35.54371262
25.9322834,22.23690033,21.00256538,23.05724907,69.1717453,ON,2024-08-03 11:56:36,2074.0,35.57745361
28.97489929,30.4292202,28.86766243,29.42392731,88.27178192,ON,2024-08-03 11:56:41,2065.0,35.58353806
22.59457779,22.69303513,22.42040825,22.56934166,67.70802307,ON,2024-08-03 11:56:46,2159.0,35.58550262
37.74354935,34.4913559,34.44749069,35.56080246,106.6824036,ON,2024-08-03 11:56:51,2021.0,35.58150864
23.59065437,23.60704994,20.79898071,22.66556358,67.99668884,ON,2024-08-03 11:56:56,2096.0,35.59843063
25.53031731,23.69846153,20.6546917,23.29448891,69.88346863,ON,2024-08-03 11:57:01,2110.0,35.60570526
35.29143524,31.99434662,32.19727707,33.16102219,99.48306274,ON,2024-08-03 11:57:06,2004.0,35.62766266
25.31583786,22.8947773,21.63326836,23.28129578,69.84388733,ON,2024-08-03 11:57:11,2059.0,35.60900116
27.79216194,29.07687569,27.96110153,28.27671242,84.83013916,ON,2024-08-03 11:57:16,2149.0,35.61268997
21.78383636,22.2835083,20.1326046,21.39998436,64.19995117,ON,2024-08-03 12:02:31,2155.0,36.17436218
24.50586128,23.68882942,20.67837906,22.95768929,68.87306976,ON,2024-08-03 12:02:36,2022.0,36.16786575
29.44520378,28.15607834,28.96566391,28.85564613,86.56694031,ON,2024-08-03 12:02:41,2115.0,36.17226028
24.53744698,23.35178185,21.87640572,23.25521088,69.76563263,ON,2024-08-03 12:02:46,2112.0,36.12041092
24.93013,27.05881691,25.61418533,25.86771202,77.60313416,ON,2024-08-03 12:02:51,2057.0,36.19736099
23.38604355,21.51959038,22.06895638,22.32486153,66.97458649,ON,2024-08-03 12:02:56,2082.0,36.20882416
32.457798,28.24177933,27.22537804,29.30831909,87.92495728,ON,2024-08-03 12:03:01,2071.0,36.1704216
22.96369553,24.21784019,22.31685829,23.16613007,69.4983902,ON,2024-08-03 12:03:06,2030.0,36.17117691
22.13152695,21.88672447,19.6933403,21.23719597,63.71158981,ON,2024-08-03 12:03:11,2065.0,36.16449738
31.54165459,29.70695305,29.41485023,30.22115326,90.66345978,ON,2024-08-03 12:03:16,2175.0,36.1873703
25.10732269,21.86461639,19.76332664,22.24508858,66.73526764,ON,2024-08-03 12:03:21,2065.0,36.19818878
26.6961689,28.17280388,24.64314079,26.50403786,79.51211548,ON,2024-08-03 12:03:26,2163.0,36.21697998
22.7986145,22.12091255,22.49778175,22.472435,67.41730499,ON,2024-08-03 12:03:31,2032.0,36.20558929
27.62789536,26.52174377,28.00702095,27.38555336,82.15666199,ON,2024-08-03 12:07:46,1995.0,36.59300613
27.21426392,25.00391006,22.51159668,24.90992165,74.72976685,ON,2024-08-03 12:07:51,2094.0,36.62838745
25.42525673,26.23059464,23.15157318,24.93580818,74.80742645,ON,2024-08-03 12:07:56,2149.0,36.62059021
21.53663635,20.88720894,18.2457943,20.2232132,60.66963959,ON,2024-08-03 12:08:01,2146.0,36.60129929
32.19496155,29.12662315,30.21356201,30.51171684,91.53514862,ON,2024-08-03 12:08:06,2110.0,36.5837822
23.18476677,20.80451965,19.73568726,21.24165916,63.72497559,ON,2024-08-03 12:08:11,2127.0,36.57787704
26.99471092,29.24247742,24.99109268,27.07609558,81.22828674,ON,2024-08-03 12:08:16,2099.0,36.59079742
22.40449715,22.25060654,23.43859291,22.69789886,68.09369659,ON,2024-08-03 12:08:21,2114.0,36.6067276
32.3522644,30.24084663,27.55363464,30.04891396,90.14674377,ON,2024-08-03 12:08:26,2185.0,36.58566284
22.19920158,22.10677338,20.91425705,21.74007607,65.2202301,ON,2024-08-03 12:08:31,2096.0,36.57342911
24.42826271,22.50763512,19.29794884,22.07794952,66.23384857,ON,2024-08-03 12:08:36,2064.0,36.59929276
29.79510689,27.24523354,27.33198738,28.12410927,84.37232971,ON,2024-08-03 12:08:41,2112.0,36.61730576
26.3831768,23.17633057,20.90762138,23.48904419,70.46713257,ON,2024-08-03 12:08:46,2192.0,36.63603973
26.61115646,25.618433,22.04762268,24.75907135,74.27721405,ON,2024-08-03 12:08:51,2064.0,36.64515305
20.80328941,20.48429871,19.84216499,20.37658501,61.12975311,ON,2024-08-03 12:08:56,2110.0,36.62787628
32.48816681,29.79357338,28.75112724,30.34428978,91.03286743,ON,2024-08-03 12:09:01,2165.0,36.60684204
22.7430706,21.06526566,19.11008072,20.97280502,62.91841507,ON,2024-08-03 12:09:06,2037.0,36.6187706
27.64033127,27.55417442,24.04364967,26.41271782,79.23815155,ON,2024-08-03 12:09:11,2141.0,36.64374924
23.21099854,22.7725296,23.00968552,22.99773598,68.99320984,ON,2024-08-03 12:09:16,2067.0,36.65262222
31.82194328,29.19153595,27.71592903,29.57646942,88.72940826,ON,2024-08-03 12:09:21,2140.0,36.65372086
23.59822273,22.72874832,20.24393463,22.1903019,66.57090759,ON,2024-08-03 12:09:26,2005.0,36.65788269
22.88685989,22.17417145,19.79947472,21.62016869,64.86050415,ON,2024-08-03 12:09:31,2173.0,36.68334579
